employee_id,date,time_in,time_out,overtime
1,2024-04-01,08:25,17:01,0.02
2,2024-04-01,08:20,18:47,1.78
3,2024-04-01,08:16,17:27,0.45
4,2024-04-01,08:16,17:42,0.7
5,2024-04-01,09:36,17:21,0.35
6,2024-04-01,08:02,18:14,1.23
7,2024-04-01,08:40,17:45,0.75
8,2024-04-01,08:18,17:54,0.9
9,2024-04-01,09:40,18:42,1.7
10,2024-04-01,08:23,17:50,0.83
11,2024-04-01,08:43,18:42,1.7
12,2024-04-01,08:40,17:31,0.52
13,2024-04-01,08:03,17:28,0.47
14,2024-04-01,08:01,17:49,0.82
15,2024-04-01,08:12,18:32,1.53
16,2024-04-01,08:20,18:23,1.38
17,2024-04-01,09:19,17:52,0.87
18,2024-04-01,09:12,17:34,0.57
19,2024-04-01,09:24,18:51,1.85
20,2024-04-01,09:58,18:21,1.35
21,2024-04-01,09:24,18:07,1.12
22,2024-04-01,08:28,17:18,0.3
23,2024-04-01,08:29,18:30,1.5
24,2024-04-01,08:18,18:10,1.17
25,2024-04-01,08:45,18:51,1.85
26,2024-04-01,09:21,17:55,0.92
27,2024-04-01,09:30,17:36,0.6
28,2024-04-01,08:09,18:09,1.15
29,2024-04-01,09:48,18:55,1.92
30,2024-04-01,08:29,18:20,1.33
31,2024-04-01,08:25,17:07,0.12
32,2024-04-01,08:21,17:11,0.18
33,2024-04-01,09:37,18:43,1.72
34,2024-04-01,09:31,18:16,1.27
1,2024-04-02,08:59,18:48,1.8
2,2024-04-02,08:57,17:11,0.18
3,2024-04-02,09:47,18:16,1.27
4,2024-04-02,08:58,18:07,1.12
5,2024-04-02,08:53,17:48,0.8
6,2024-04-02,09:00,17:27,0.45
7,2024-04-02,09:02,17:20,0.33
8,2024-04-02,09:18,17:22,0.37
9,2024-04-02,08:14,18:01,1.02
10,2024-04-02,09:19,17:16,0.27
11,2024-04-02,09:25,17:03,0.05
12,2024-04-02,09:29,18:16,1.27
13,2024-04-02,08:17,18:35,1.58
14,2024-04-02,08:15,18:37,1.62
15,2024-04-02,09:58,18:13,1.22
16,2024-04-02,08:16,17:30,0.5
17,2024-04-02,08:25,17:55,0.92
18,2024-04-02,08:20,17:04,0.07
19,2024-04-02,09:17,17:59,0.98
20,2024-04-02,09:44,18:53,1.88
21,2024-04-02,09:05,17:06,0.1
22,2024-04-02,08:26,17:16,0.27
23,2024-04-02,09:49,18:23,1.38
24,2024-04-02,08:57,17:23,0.38
25,2024-04-02,09:48,17:06,0.1
26,2024-04-02,08:14,18:42,1.7
27,2024-04-02,08:36,18:34,1.57
28,2024-04-02,08:56,17:43,0.72
29,2024-04-02,09:05,17:33,0.55
30,2024-04-02,08:15,17:52,0.87
31,2024-04-02,09:46,17:05,0.08
32,2024-04-02,09:46,18:46,1.77
33,2024-04-02,08:46,17:54,0.9
34,2024-04-02,09:22,18:15,1.25
1,2024-04-03,09:32,18:34,1.57
2,2024-04-03,08:21,18:22,1.37
3,2024-04-03,08:31,18:00,1.0
4,2024-04-03,09:49,18:02,1.03
5,2024-04-03,09:42,17:25,0.42
