employee_id,date,time_in,time_out,overtime
1,2024-02-01,08:59,17:32,0.53
2,2024-02-01,09:04,17:36,0.6
3,2024-02-01,08:31,18:28,1.47
4,2024-02-01,08:13,18:45,1.75
5,2024-02-01,09:41,17:12,0.2
6,2024-02-01,08:57,18:22,1.37
7,2024-02-01,08:10,17:07,0.12
8,2024-02-01,08:02,18:48,1.8
9,2024-02-01,08:16,18:32,1.53
10,2024-02-01,09:39,18:41,1.68
11,2024-02-01,08:50,18:39,1.65
12,2024-02-01,08:42,17:20,0.33
13,2024-02-01,09:58,17:27,0.45
14,2024-02-01,08:19,17:41,0.68
15,2024-02-01,09:18,18:50,1.83
16,2024-02-01,08:48,17:21,0.35
17,2024-02-01,09:39,17:19,0.32
18,2024-02-01,08:40,17:50,0.83
19,2024-02-01,08:45,18:19,1.32
20,2024-02-01,08:45,18:32,1.53
21,2024-02-01,08:42,17:05,0.08
22,2024-02-01,08:11,17:26,0.43
23,2024-02-01,09:20,17:11,0.18
24,2024-02-01,09:49,17:24,0.4
25,2024-02-01,09:40,17:17,0.28
26,2024-02-01,09:23,18:19,1.32
27,2024-02-01,09:53,17:25,0.42
28,2024-02-01,08:35,17:24,0.4
29,2024-02-01,08:50,18:34,1.57
30,2024-02-01,08:43,17:37,0.62
31,2024-02-01,08:56,17:46,0.77
32,2024-02-01,08:02,18:38,1.63
33,2024-02-01,09:56,17:17,0.28
34,2024-02-01,09:08,18:38,1.63
1,2024-02-02,09:58,18:50,1.83
2,2024-02-02,08:21,18:52,1.87
3,2024-02-02,09:27,18:31,1.52
4,2024-02-02,08:09,17:44,0.73
5,2024-02-02,08:59,18:23,1.38
6,2024-02-02,08:40,17:18,0.3
7,2024-02-02,08:25,18:09,1.15
8,2024-02-02,09:03,17:36,0.6
9,2024-02-02,08:33,18:03,1.05
10,2024-02-02,08:19,18:09,1.15
11,2024-02-02,08:28,18:34,1.57
12,2024-02-02,09:09,17:34,0.57
13,2024-02-02,08:27,17:28,0.47
14,2024-02-02,09:39,18:18,1.3
15,2024-02-02,09:17,18:24,1.4
16,2024-02-02,08:53,17:55,0.92
17,2024-02-02,08:43,18:47,1.78
18,2024-02-02,09:44,17:55,0.92
19,2024-02-02,08:18,17:06,0.1
20,2024-02-02,08:51,18:04,1.07
21,2024-02-02,09:38,18:04,1.07
22,2024-02-02,09:19,17:39,0.65
23,2024-02-02,08:07,18:19,1.32
24,2024-02-02,08:40,17:24,0.4
25,2024-02-02,09:45,17:02,0.03
26,2024-02-02,08:58,17:31,0.52
