employee_id,date,time_in,time_out,overtime
1,2024-01-01,09:24,17:50,0.83
2,2024-01-01,09:14,18:36,1.6
3,2024-01-01,08:04,17:00,0
4,2024-01-01,09:37,18:32,1.53
5,2024-01-01,09:30,17:45,0.75
6,2024-01-01,08:14,18:36,1.6
7,2024-01-01,09:57,18:26,1.43
8,2024-01-01,09:06,18:56,1.93
9,2024-01-01,08:51,18:58,1.97
10,2024-01-01,08:29,17:38,0.63
11,2024-01-01,08:43,17:09,0.15
12,2024-01-01,08:38,17:45,0.75
13,2024-01-01,09:07,18:15,1.25
14,2024-01-01,08:22,17:09,0.15
15,2024-01-01,09:20,18:37,1.62
16,2024-01-01,09:18,18:18,1.3
17,2024-01-01,08:03,17:09,0.15
18,2024-01-01,08:05,18:56,1.93
19,2024-01-01,08:11,17:27,0.45
20,2024-01-01,09:58,17:25,0.42
21,2024-01-01,08:09,18:59,1.98
22,2024-01-01,09:54,17:13,0.22
23,2024-01-01,08:38,17:14,0.23
24,2024-01-01,09:32,18:30,1.5
25,2024-01-01,09:31,17:17,0.28
26,2024-01-01,08:41,18:49,1.82
27,2024-01-01,08:38,18:21,1.35
28,2024-01-01,08:24,17:53,0.88
29,2024-01-01,08:23,18:16,1.27
30,2024-01-01,09:47,18:02,1.03
31,2024-01-01,09:52,17:34,0.57
32,2024-01-01,09:51,18:34,1.57
33,2024-01-01,09:01,18:20,1.33
34,2024-01-01,08:17,17:03,0.05
1,2024-01-02,09:15,18:06,1.1
2,2024-01-02,09:06,17:52,0.87
3,2024-01-02,08:08,18:32,1.53
4,2024-01-02,09:46,18:45,1.75
5,2024-01-02,08:30,17:53,0.88
6,2024-01-02,09:55,17:13,0.22
7,2024-01-02,08:41,17:45,0.75
8,2024-01-02,09:54,17:38,0.63
9,2024-01-02,09:35,18:51,1.85
10,2024-01-02,09:05,18:01,1.02
11,2024-01-02,08:38,18:25,1.42
12,2024-01-02,08:35,17:55,0.92
13,2024-01-02,09:24,17:24,0.4
14,2024-01-02,08:26,17:56,0.93
15,2024-01-02,08:10,17:59,0.98
16,2024-01-02,08:50,18:41,1.68
17,2024-01-02,09:25,18:04,1.07
18,2024-01-02,09:11,17:37,0.62
19,2024-01-02,09:48,18:06,1.1
20,2024-01-02,09:31,17:21,0.35
21,2024-01-02,08:06,17:52,0.87
22,2024-01-02,09:00,18:47,1.78
23,2024-01-02,09:31,18:06,1.1
24,2024-01-02,09:11,17:33,0.55
25,2024-01-02,09:30,18:04,1.07
26,2024-01-02,08:54,18:15,1.25
27,2024-01-02,09:26,17:43,0.72
28,2024-01-02,09:30,18:33,1.55
29,2024-01-02,08:19,17:17,0.28
30,2024-01-02,08:20,17:06,0.1
31,2024-01-02,08:46,17:55,0.92
32,2024-01-02,09:07,18:06,1.1
33,2024-01-02,08:44,18:54,1.9
34,2024-01-02,09:37,17:48,0.8
1,2024-01-03,08:13,17:39,0.65
2,2024-01-03,08:06,17:38,0.63
3,2024-01-03,09:20,18:43,1.72
4,2024-01-03,08:29,17:54,0.9
5,2024-01-03,08:26,17:49,0.82
6,2024-01-03,08:49,18:05,1.08
7,2024-01-03,09:33,18:49,1.82
8,2024-01-03,08:44,18:19,1.32
9,2024-01-03,08:18,17:10,0.17
10,2024-01-03,09:01,18:44,1.73
11,2024-01-03,09:59,17:16,0.27
12,2024-01-03,08:44,17:30,0.5
13,2024-01-03,09:26,17:00,0
14,2024-01-03,09:39,17:34,0.57
15,2024-01-03,08:24,17:31,0.52
16,2024-01-03,09:09,18:56,1.93
17,2024-01-03,08:22,18:39,1.65
18,2024-01-03,09:06,18:12,1.2
19,2024-01-03,08:39,18:29,1.48
20,2024-01-03,09:37,17:45,0.75
21,2024-01-03,09:17,18:12,1.2
22,2024-01-03,08:07,18:44,1.73
23,2024-01-03,08:52,17:47,0.78
24,2024-01-03,08:32,17:06,0.1
25,2024-01-03,09:56,17:29,0.48
26,2024-01-03,08:50,17:46,0.77
27,2024-01-03,08:17,17:18,0.3
28,2024-01-03,08:08,18:33,1.55
29,2024-01-03,09:21,17:35,0.58
30,2024-01-03,08:04,17:39,0.65
31,2024-01-03,08:11,18:45,1.75
32,2024-01-03,09:09,17:00,0
33,2024-01-03,09:17,17:30,0.5
34,2024-01-03,08:39,18:38,1.63
1,2024-01-04,09:29,17:24,0.4
2,2024-01-04,09:41,18:28,1.47
3,2024-01-04,08:31,18:23,1.38
4,2024-01-04,09:41,17:28,0.47
5,2024-01-04,08:10,17:35,0.58
6,2024-01-04,08:03,17:40,0.67
7,2024-01-04,09:06,18:51,1.85
8,2024-01-04,09:36,17:24,0.4
9,2024-01-04,08:15,18:09,1.15
10,2024-01-04,08:06,18:28,1.47
11,2024-01-04,08:26,17:44,0.73
12,2024-01-04,09:32,17:31,0.52
13,2024-01-04,08:57,17:09,0.15
14,2024-01-04,09:49,18:00,1.0
15,2024-01-04,09:56,18:03,1.05
16,2024-01-04,09:50,18:37,1.62
17,2024-01-04,09:40,17:49,0.82
18,2024-01-04,09:59,17:19,0.32
19,2024-01-04,09:04,17:19,0.32
20,2024-01-04,08:08,17:42,0.7
21,2024-01-04,09:36,18:44,1.73
22,2024-01-04,08:34,17:14,0.23
23,2024-01-04,09:19,17:59,0.98
24,2024-01-04,08:57,17:45,0.75
25,2024-01-04,08:14,17:23,0.38
26,2024-01-04,09:46,18:24,1.4
27,2024-01-04,08:50,17:30,0.5
28,2024-01-04,09:25,18:32,1.53
29,2024-01-04,08:18,17:24,0.4
30,2024-01-04,09:04,18:19,1.32
31,2024-01-04,08:25,18:20,1.33
32,2024-01-04,08:43,17:33,0.55
33,2024-01-04,08:18,18:07,1.12
34,2024-01-04,08:50,17:03,0.05
1,2024-01-05,08:06,17:48,0.8
2,2024-01-05,09:02,17:50,0.83
3,2024-01-05,08:44,17:00,0
4,2024-01-05,09:35,18:06,1.1
5,2024-01-05,09:32,17:53,0.88
6,2024-01-05,08:32,18:51,1.85
7,2024-01-05,09:25,17:38,0.63
8,2024-01-05,08:56,18:13,1.22
9,2024-01-05,08:00,18:00,1.0
10,2024-01-05,08:00,17:47,0.78
11,2024-01-05,08:42,18:05,1.08
12,2024-01-05,08:16,18:33,1.55
13,2024-01-05,09:00,17:41,0.68
14,2024-01-05,09:38,18:43,1.72
15,2024-01-05,09:50,18:12,1.2
16,2024-01-05,08:19,18:28,1.47
17,2024-01-05,09:54,17:05,0.08
18,2024-01-05,08:28,17:04,0.07
19,2024-01-05,09:10,17:49,0.82
20,2024-01-05,09:26,17:29,0.48
21,2024-01-05,09:32,18:14,1.23
22,2024-01-05,08:23,17:18,0.3
23,2024-01-05,08:19,18:04,1.07
24,2024-01-05,09:40,17:15,0.25
25,2024-01-05,08:26,17:25,0.42
26,2024-01-05,09:48,18:55,1.92
27,2024-01-05,09:07,17:13,0.22
28,2024-01-05,09:35,17:03,0.05
29,2024-01-05,09:27,18:57,1.95
30,2024-01-05,09:20,17:10,0.17
31,2024-01-05,09:51,17:23,0.38
32,2024-01-05,09:39,18:46,1.77
33,2024-01-05,09:24,18:26,1.43
34,2024-01-05,08:01,17:15,0.25
1,2024-01-08,08:01,17:09,0.15
2,2024-01-08,09:54,17:03,0.05
3,2024-01-08,08:18,18:18,1.3
4,2024-01-08,09:58,17:33,0.55
5,2024-01-08,09:51,17:37,0.62
6,2024-01-08,09:23,17:56,0.93
7,2024-01-08,08:25,18:56,1.93
8,2024-01-08,09:06,18:08,1.13
9,2024-01-08,09:45,17:40,0.67
10,2024-01-08,09:26,18:20,1.33
11,2024-01-08,08:46,17:44,0.73
12,2024-01-08,08:28,18:47,1.78
13,2024-01-08,08:26,17:57,0.95
14,2024-01-08,08:32,18:00,1.0
15,2024-01-08,08:00,17:32,0.53
16,2024-01-08,08:23,18:59,1.98
17,2024-01-08,09:02,17:23,0.38
18,2024-01-08,09:28,18:17,1.28
19,2024-01-08,08:17,17:09,0.15
20,2024-01-08,08:15,18:03,1.05
21,2024-01-08,09:51,17:35,0.58
22,2024-01-08,08:22,17:28,0.47
23,2024-01-08,09:28,17:30,0.5
24,2024-01-08,08:22,17:25,0.42
25,2024-01-08,09:26,17:34,0.57
26,2024-01-08,09:27,18:24,1.4
27,2024-01-08,08:11,18:42,1.7
28,2024-01-08,08:01,17:41,0.68
29,2024-01-08,08:26,17:44,0.73
30,2024-01-08,09:08,18:29,1.48
31,2024-01-08,08:14,18:39,1.65
32,2024-01-08,09:30,17:42,0.7
33,2024-01-08,08:23,18:17,1.28
34,2024-01-08,08:10,18:40,1.67
1,2024-01-09,08:48,18:10,1.17
2,2024-01-09,09:26,17:20,0.33
3,2024-01-09,09:35,17:10,0.17
4,2024-01-09,08:45,17:11,0.18
5,2024-01-09,08:52,17:46,0.77
6,2024-01-09,08:00,18:05,1.08
7,2024-01-09,09:29,17:28,0.47
8,2024-01-09,08:30,18:44,1.73
9,2024-01-09,09:40,18:12,1.2
10,2024-01-09,08:12,17:06,0.1
11,2024-01-09,08:15,18:04,1.07
12,2024-01-09,09:06,17:44,0.73
13,2024-01-09,08:44,17:38,0.63
14,2024-01-09,08:00,17:59,0.98
15,2024-01-09,09:18,18:32,1.53
16,2024-01-09,09:09,17:33,0.55
17,2024-01-09,09:35,17:35,0.58
18,2024-01-09,08:58,17:18,0.3
19,2024-01-09,08:13,17:44,0.73
20,2024-01-09,08:09,17:41,0.68
21,2024-01-09,08:45,17:14,0.23
22,2024-01-09,09:16,18:37,1.62
23,2024-01-09,09:16,17:52,0.87
24,2024-01-09,09:32,17:44,0.73
25,2024-01-09,08:43,18:47,1.78
26,2024-01-09,09:31,17:57,0.95
27,2024-01-09,09:22,18:34,1.57
28,2024-01-09,08:23,18:51,1.85
29,2024-01-09,08:00,17:03,0.05
30,2024-01-09,08:28,17:58,0.97
31,2024-01-09,09:07,17:01,0.02
32,2024-01-09,08:23,18:56,1.93
33,2024-01-09,09:41,18:21,1.35
34,2024-01-09,08:50,17:43,0.72
1,2024-01-10,08:08,18:25,1.42
2,2024-01-10,09:12,18:16,1.27
3,2024-01-10,08:37,17:50,0.83
4,2024-01-10,09:19,17:57,0.95
5,2024-01-10,08:02,17:38,0.63
6,2024-01-10,08:58,18:00,1.0
7,2024-01-10,09:13,18:50,1.83
8,2024-01-10,08:32,18:18,1.3
9,2024-01-10,08:43,17:03,0.05
10,2024-01-10,08:25,17:30,0.5
11,2024-01-10,09:01,17:44,0.73
12,2024-01-10,08:50,18:30,1.5
13,2024-01-10,08:02,18:45,1.75
14,2024-01-10,08:45,18:56,1.93
15,2024-01-10,08:58,18:31,1.52
16,2024-01-10,08:17,18:17,1.28
17,2024-01-10,08:12,17:46,0.77
18,2024-01-10,08:06,18:44,1.73
19,2024-01-10,09:00,18:04,1.07
20,2024-01-10,09:48,17:39,0.65
21,2024-01-10,08:45,18:38,1.63
22,2024-01-10,09:11,18:26,1.43
23,2024-01-10,08:06,17:17,0.28
24,2024-01-10,09:35,17:44,0.73
25,2024-01-10,09:05,18:19,1.32
26,2024-01-10,09:01,17:22,0.37
27,2024-01-10,09:11,18:52,1.87
28,2024-01-10,08:13,18:43,1.72
29,2024-01-10,08:20,17:44,0.73
30,2024-01-10,08:34,18:11,1.18
31,2024-01-10,08:03,18:08,1.13
32,2024-01-10,08:03,17:09,0.15
33,2024-01-10,08:02,17:23,0.38
34,2024-01-10,09:17,17:42,0.7
1,2024-01-11,09:23,18:46,1.77
2,2024-01-11,09:48,18:44,1.73
3,2024-01-11,08:18,18:35,1.58
4,2024-01-11,08:36,17:11,0.18
5,2024-01-11,09:12,18:26,1.43
6,2024-01-11,09:48,18:24,1.4
7,2024-01-11,08:17,18:01,1.02
8,2024-01-11,08:06,17:17,0.28
9,2024-01-11,09:40,17:18,0.3
10,2024-01-11,09:29,18:48,1.8
11,2024-01-11,09:25,18:10,1.17
12,2024-01-11,08:49,17:11,0.18
13,2024-01-11,09:44,17:58,0.97
14,2024-01-11,08:31,18:33,1.55
15,2024-01-11,08:09,17:13,0.22
16,2024-01-11,08:35,17:51,0.85
17,2024-01-11,08:03,18:16,1.27
18,2024-01-11,08:44,18:46,1.77
19,2024-01-11,08:00,17:55,0.92
20,2024-01-11,08:20,18:21,1.35
21,2024-01-11,09:06,17:02,0.03
22,2024-01-11,08:17,18:24,1.4
23,2024-01-11,09:04,18:05,1.08
24,2024-01-11,08:37,17:49,0.82
25,2024-01-11,09:28,18:43,1.72
26,2024-01-11,08:17,17:51,0.85
27,2024-01-11,09:30,17:14,0.23
28,2024-01-11,08:03,17:05,0.08
29,2024-01-11,08:18,18:48,1.8
30,2024-01-11,09:18,18:50,1.83
31,2024-01-11,08:48,18:03,1.05
32,2024-01-11,09:54,17:32,0.53
33,2024-01-11,09:37,17:44,0.73
34,2024-01-11,09:31,17:36,0.6
1,2024-01-12,08:21,18:24,1.4
2,2024-01-12,09:55,18:18,1.3
3,2024-01-12,08:26,18:22,1.37
4,2024-01-12,09:37,18:20,1.33
5,2024-01-12,08:45,17:24,0.4
6,2024-01-12,08:18,17:40,0.67
7,2024-01-12,08:46,18:06,1.1
8,2024-01-12,08:16,18:54,1.9
9,2024-01-12,09:45,17:19,0.32
10,2024-01-12,08:39,17:50,0.83
11,2024-01-12,09:14,18:34,1.57
12,2024-01-12,08:11,18:29,1.48
13,2024-01-12,08:46,17:32,0.53
14,2024-01-12,09:54,17:54,0.9
15,2024-01-12,08:09,18:27,1.45
16,2024-01-12,09:44,17:48,0.8
17,2024-01-12,08:32,17:30,0.5
18,2024-01-12,09:37,18:55,1.92
19,2024-01-12,09:35,18:06,1.1
20,2024-01-12,09:33,17:21,0.35
21,2024-01-12,08:05,18:22,1.37
22,2024-01-12,09:17,17:18,0.3
23,2024-01-12,08:33,18:14,1.23
24,2024-01-12,08:28,17:07,0.12
25,2024-01-12,09:38,17:01,0.02
26,2024-01-12,08:38,17:21,0.35
27,2024-01-12,08:15,18:38,1.63
28,2024-01-12,09:08,17:16,0.27
29,2024-01-12,09:03,18:25,1.42
30,2024-01-12,09:07,18:57,1.95
