employee_id,date,time_in,time_out,overtime
1,2024-05-01,08:58,17:38,0.63
2,2024-05-01,09:32,17:50,0.83
3,2024-05-01,09:40,17:38,0.63
4,2024-05-01,09:23,18:25,1.42
5,2024-05-01,09:26,18:52,1.87
6,2024-05-01,09:03,17:50,0.83
7,2024-05-01,08:12,18:25,1.42
8,2024-05-01,09:39,17:18,0.3
9,2024-05-01,09:59,17:01,0.02
10,2024-05-01,08:40,18:56,1.93
11,2024-05-01,08:19,17:03,0.05
12,2024-05-01,08:38,17:20,0.33
13,2024-05-01,08:18,17:04,0.07
14,2024-05-01,09:25,18:54,1.9
15,2024-05-01,09:56,17:03,0.05
16,2024-05-01,08:02,17:14,0.23
17,2024-05-01,09:04,18:48,1.8
18,2024-05-01,08:44,18:43,1.72
19,2024-05-01,09:09,18:57,1.95
20,2024-05-01,08:04,17:52,0.87
21,2024-05-01,08:33,17:40,0.67
22,2024-05-01,08:02,17:39,0.65
23,2024-05-01,08:04,17:21,0.35
24,2024-05-01,08:28,18:01,1.02
25,2024-05-01,08:59,18:50,1.83
26,2024-05-01,08:50,18:06,1.1
27,2024-05-01,09:02,17:57,0.95
28,2024-05-01,09:22,17:24,0.4
29,2024-05-01,09:32,18:05,1.08
30,2024-05-01,08:07,18:05,1.08
31,2024-05-01,09:22,17:56,0.93
32,2024-05-01,09:15,17:50,0.83
33,2024-05-01,09:36,18:10,1.17
34,2024-05-01,08:54,18:44,1.73
1,2024-05-02,09:34,18:12,1.2
2,2024-05-02,09:22,18:50,1.83
3,2024-05-02,08:39,17:31,0.52
4,2024-05-02,08:24,18:56,1.93
5,2024-05-02,09:50,17:17,0.28
6,2024-05-02,08:01,18:18,1.3
7,2024-05-02,08:49,18:23,1.38
8,2024-05-02,08:07,17:14,0.23
9,2024-05-02,09:31,17:29,0.48
10,2024-05-02,09:10,17:10,0.17
11,2024-05-02,09:50,18:06,1.1
12,2024-05-02,08:48,17:40,0.67
13,2024-05-02,08:19,17:53,0.88
14,2024-05-02,08:09,18:10,1.17
15,2024-05-02,08:10,17:58,0.97
16,2024-05-02,08:12,17:16,0.27
17,2024-05-02,08:05,18:22,1.37
18,2024-05-02,09:00,17:07,0.12
19,2024-05-02,08:20,18:08,1.13
20,2024-05-02,09:06,18:30,1.5
